Order_ID,Customer_ID,Product_ID,Quantity,Order_date,Order_Time,Delivary_date,Delivery_Time,Occasion,
1,C037,67,5,7/6/2021,23:48:13,12/6/2021,7:27:10,Anniversary,
2,C019,41,2,3/12/2021,23:30:18,6/12/2021,7:16:17,Eid,
3,C029,67,5,26-10-2021,19:12:03,29-10-2021,17:39:00,Anniversary,
4,C012,14,5,21-03-2021,4:44:29,23-03-2021,6:33:23,Birthday,
5,C078,58,2,9/4/2021,19:44:48,13-04-2021,11:08:52,Valentine's Day,
6,C040,28,4,9/7/2021,22:11:35,13-07-2021,19:06:46,Eid,
7,C009,45,2,10/4/2021,1:45:13,16-04-2021,10:07:17,Birthday,
8,C097,43,3,28-09-2021,19:20:02,30-09-2021,8:44:45,Eid,
9,C044,27,4,17-04-2021,23:39:51,19-04-2021,23:59:54,Eid,
10,C099,56,3,16-08-2021,0:17:26,18-08-2021,20:47:43,Anniversary,
11,C065,16,4,31-08-2021,20:14:55,4/9/2021,23:19:47,Birthday,
12,C097,38,3,23-03-2021,8:28:56,25-03-2021,23:34:57,Birthday,
13,C024,20,3,9/3/2021,16:47:16,15-03-2021,2:27:37,Anniversary,
14,C042,60,1,29-01-2021,3:46:06,31-01-2021,12:08:02,Eid,
15,C069,21,5,14-12-2021,2:52:39,18-12-2021,13:26:45,Eid,
16,C013,20,3,25-08-2021,15:06:11,27-08-2021,22:14:21,Anniversary,
17,C056,60,2,19-12-2021,11:31:33,24-12-2021,18:40:13,Eid,
18,C072,23,4,12/6/2021,10:46:15,14-06-2021,0:20:29,Anniversary,
19,C072,62,4,30-03-2021,7:59:48,1/4/2021,3:04:34,Birthday,
20,C011,52,1,6/11/2021,14:36:57,8/11/2021,1:34:16,Valentine's Day,
21,C090,32,1,22-06-2021,11:20:52,25-06-2021,11:36:26,Birthday,
22,C054,43,1,10/7/2021,1:05:28,15-07-2021,9:49:47,Eid,
23,C041,12,3,28-10-2021,5:28:33,31-10-2021,12:12:24,Anniversary,
24,C018,42,3,30-04-2021,5:10:42,3/5/2021,7:57:35,All Occasions,
25,C091,30,3,13-05-2021,10:46:57,15-05-2021,14:28:42,Anniversary,
26,C040,6,3,1/4/2021,5:03:06,7/4/2021,6:06:11,Birthday,
27,C063,9,2,5/12/2021,11:16:28,7/12/2021,7:59:12,Eid,
28,C088,42,3,21-04-2021,3:25:25,26-04-2021,7:55:04,All Occasions,
29,C064,10,5,7/11/2021,1:06:22,13-11-2021,14:29:16,Birthday,
30,C044,23,4,11/3/2021,9:23:33,14-03-2021,13:36:58,Anniversary,
31,C029,7,5,14-08-2021,13:13:22,18-08-2021,23:35:49,Birthday,
32,C065,7,5,23-05-2021,15:36:41,28-05-2021,15:54:10,Birthday,
33,C047,8,3,1/10/2021,1:37:27,7/10/2021,2:13:27,Anniversary,
34,C071,17,2,18-06-2021,22:58:15,20-06-2021,5:36:46,Anniversary,
35,C055,7,5,12/6/2021,16:10:26,14-06-2021,15:00:40,Birthday,
36,C029,66,1,21-11-2021,10:28:53,24-11-2021,8:14:49,Birthday,
37,C096,19,5,23-11-2021,11:01:04,26-11-2021,21:19:36,Valentine's Day,
38,C067,37,3,25-08-2021,12:30:28,28-08-2021,12:24:51,Eid,
39,C054,43,2,21-09-2021,19:25:58,27-09-2021,13:28:42,Eid,
40,C066,48,4,28-09-2021,14:15:10,2/10/2021,4:29:54,Eid,
